Feature,Normalized.Dispersion
ENSMUSG00000051951,-0.41856391582698305
ENSMUSG00000089699,-0.7990113363918265
ENSMUSG00000102331,-2.303277200596721
ENSMUSG00000102343,0.31797909073757297
ENSMUSG00000025900,3.215928421355185
ENSMUSG00000025902,1.689946982592808
ENSMUSG00000104238,NaN
ENSMUSG00000033845,0.046874996909588865
ENSMUSG00000025903,0.2622550655519285
ENSMUSG00000033813,-0.584821080460691
ENSMUSG00000002459,6.2103358440495
ENSMUSG00000085623,-0.08439540254094771
ENSMUSG00000033793,-1.299570967731037
ENSMUSG00000025905,-0.4869478119895826
ENSMUSG00000033774,1.7126936730273703
ENSMUSG00000025907,-1.3217711542135455
ENSMUSG00000090031,-1.0564952667195744
ENSMUSG00000087247,-0.3868467113476159
ENSMUSG00000033740,10.387948021313768
ENSMUSG00000051285,-0.7339570641574742
ENSMUSG00000097797,-1.7477841924267272
ENSMUSG00000025909,-0.41714575198405635
ENSMUSG00000061024,0.9237415706365418
ENSMUSG00000025911,2.1422228979366036
ENSMUSG00000079671,5.245263404910571
ENSMUSG00000067879,1.699037146540826
ENSMUSG00000025912,0.48443437946399187
ENSMUSG00000045210,0.318781460179809
ENSMUSG00000097893,1.6346947993382288
ENSMUSG00000025915,-0.6050514612119773
ENSMUSG00000046101,-2.657648265535434
ENSMUSG00000098234,-0.11837222502103893
ENSMUSG00000099032,0.690712868524714
ENSMUSG00000025916,-0.6537067388896016
ENSMUSG00000087199,1.2854195506470234
ENSMUSG00000025917,-0.7141369488772943
ENSMUSG00000056763,-0.7010116917396154
ENSMUSG00000067851,-1.1223243377872627
ENSMUSG00000042501,1.3767763794451602
ENSMUSG00000048960,14.91291233876221
ENSMUSG00000057715,2.2526928484027926
ENSMUSG00000097171,NaN
ENSMUSG00000016918,4.309038707269227
ENSMUSG00000025938,-1.5190223402017669
ENSMUSG00000099498,NaN
ENSMUSG00000005886,-0.5884009533568345
ENSMUSG00000101476,-0.05245721650930417
ENSMUSG00000025935,1.1896057431531282
ENSMUSG00000025937,0.5170304947404128
ENSMUSG00000025932,3.4416253863017325
ENSMUSG00000054493,-1.455121161685174
ENSMUSG00000025930,-1.5102852310906616
ENSMUSG00000032769,0.14013850414325613
ENSMUSG00000092083,1.5100988391169299
ENSMUSG00000025925,-0.7854427470175285
ENSMUSG00000032719,0.4797477520679534
ENSMUSG00000067795,-1.9702959044024109
