Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000243485,MIR1302-2HG,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
ENSG00000238009,AL627309.1,0.0023951908869233266,-2.3953876457866485,0.00013588959448279653,0.013207169006446782,2.3953876457866485,0.00013588959448279653
ENSG00000241860,AL627309.5,0.009101725370308641,-2.1994674358113926,0.000000014612649476305036,0.0422629408206297,2.1994674358113926,0.000000014612649476305036
ENSG00000229905,AL669831.2,0.0004790381773846653,-0.8775393409240309,1,0.0006603584503223391,0.8775393409240309,1
ENSG00000237491,LINC01409,0.17221422476978718,-0.8775393409240302,0.0010681068625928954,0.31631169770440043,0.8775393409240302,0.0010681068625928954
ENSG00000177757,FAM87B,0.000718557266076998,-1.462501841645187,0.38779526540111303,0.0019810753509670173,1.462501841645187,0.38779526540111303
ENSG00000228794,LINC01128,0.06179592488262183,0.623569108478482,0.1357953045747783,0.03962150701934035,-0.623569108478482,0.1357953045747783
ENSG00000225880,LINC00115,0.025868061578771927,0.6052427649906482,0.2748761125979577,0.016508961258058476,-0.6052427649906482,0.2748761125979577
ENSG00000230368,FAM41C,0.00814364901553931,1.0818186745786234,0.21532049999770597,0.0033017922516116955,-1.0818186745786234,0.21532049999770597
ENSG00000272438,AL645608.6,0,-3.462501841645187,0.057793120180570506,0.0019810753509670173,3.462501841645187,0.057793120180570506
ENSG00000187634,SAMD11,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
ENSG00000188976,NOC2L,0.2162857370891764,-0.41710993883117187,0.17927100838238644,0.2885766427908622,0.41710993883117187,0.17927100838238644
ENSG00000187961,KLHL17,0.012694511700693632,0.12246065907597004,1,0.011226093655479765,-0.12246065907597004,1
ENSG00000187583,PLEKHN1,0.005029900862538986,-0.8104251450654925,0.3167920889327005,0.008584659854190409,0.8104251450654925,0.3167920889327005
ENSG00000188290,HES4,0.00814364901553931,-4.9949969224722075,0.0000000000000000000000000000000000000000000000000000001887143765186597,0.266784813930225,4.9949969224722075,0.0000000000000000000000000000000000000000000000000000001887143765186597
ENSG00000187608,ISG15,0.38849996185896357,-0.5973361786191369,0.03216070879232677,0.5877190207868818,0.5973361786191369,0.03216070879232677
ENSG00000224969,AL645608.1,0.005029900862538986,1.9969297769921113,0.06019059815508645,0.0006603584503223391,-1.9969297769921113,0.06019059815508645
ENSG00000188157,AGRN,0.000718557266076998,-2.462501841645187,0.021387530207760526,0.004622509152256374,2.462501841645187,0.02138753020775809
ENSG00000131591,C1orf159,0.08694542919531675,0.011869797016059724,1,0.08584659854190409,-0.011869797016059724,1
ENSG00000285812,AL390719.3,0.01437114532153996,1.0088038772804024,0.12112571834103115,0.006603584503223391,-1.0088038772804024,0.12112571834103115
ENSG00000223823,LINC01342,0.004071824507769655,1.707423159797126,0.16671565992576015,0.0006603584503223391,-1.707423159797126,0.16671565992576015
ENSG00000272141,AL390719.2,0.0004790381773846653,0.12246065907596915,1,0,-0.12246065907596915,1
ENSG00000205231,TTLL10-AS1,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
ENSG00000162571,TTLL10,0.0067065344833853145,3.395479153482386,0.0031270010084679467,0,-3.395479153482386,0.0031270010084679467
ENSG00000186891,TNFRSF18,0.11017878079847303,4.578766176726548,0.000000000000000000004000723017961352,0.0039621507019340346,-4.578766176726548,0.000000000000000000004000723017961352
ENSG00000186827,TNFRSF4,0.06610726847908381,4.066277823682846,0.000000000000019736595139813473,0.0033017922516116955,-4.066277823682846,0.000000000000019736595139813473
ENSG00000078808,SDF4,0.3501769076681904,0.05221221249330066,1,0.3374431681147153,-0.05221221249330066,1
ENSG00000176022,B3GALT6,0.07449043658331546,-0.15437954628285455,0.7802712135754688,0.08254480629029239,0.15437954628285455,0.7802712135754688
ENSG00000184163,C1QTNF12,0.0023951908869233266,0.4119672762709552,0.9766930708812521,0.0013207169006446782,-0.4119672762709552,0.9766930708812521
ENSG00000260179,AL162741.1,0.0023951908869233266,-0.32499831789525047,0.9684559355599808,0.0026414338012893564,0.32499831789525047,0.9684559355599808
ENSG00000160087,UBE2J2,0.23520774509587067,-0.6325899055393127,0.022961371357084738,0.36451786457793117,0.6325899055393127,0.022961371357084738
ENSG00000230415,LINC01786,0.00886220628161631,0.9780707497407954,0.25254792910141394,0.0039621507019340346,-0.9780707497407954,0.25254792910141394
ENSG00000162572,SCNN1D,0.0059879772173083165,-0.569417045561698,0.5344284427218059,0.008584659854190409,0.569417045561698,0.5344284427218059
ENSG00000131584,ACAP3,0.0711371693416228,-1.1198502677480247,0.0002100579351698832,0.15452387737542736,1.1198502677480247,0.0002100579351698832
ENSG00000169972,PUSL1,0.03856257327946556,-0.2519348557055281,0.6764777100727919,0.045564733072241397,0.2519348557055281,0.6764777100727919
ENSG00000127054,INTS11,0.18874104188955815,-0.21799871870299015,0.5786403611034571,0.21923900550701658,0.21799871870299015,0.5786403611034571
ENSG00000224051,CPTP,0.04550862685154321,0.387006531827363,0.5058312073472025,0.034338639416761636,-0.387006531827363,0.5058312073472025
ENSG00000169962,TAS1R3,0.0009580763547693306,0.8594262532421766,0.7941788770712375,0,-0.8594262532421766,0.7941788770712375
ENSG00000107404,DVL1,0.019401046184078945,-1.059146147413978,0.006284936394042606,0.040281865469662684,1.059146147413978,0.006284936394042606
ENSG00000162576,MXRA8,0.004790381773846653,2.9298155811335738,0.01932640797667871,0,-2.9298155811335738,0.01932640797667871
ENSG00000175756,AURKAIP1,0.4962835517705133,-0.2842012286327157,0.42647978833973055,0.6042279820449403,0.2842012286327157,0.426479788339627
ENSG00000221978,CCNL2,0.27808166197179823,-0.2108448258035438,0.5783868514281373,0.32159456530697916,0.2108448258035438,0.5783868514281373
ENSG00000224870,MRPL20-AS1,0.05317323768969785,0.8148361022181048,0.0488741987250004,0.029716130264505262,-0.8148361022181048,0.0488741987250004
ENSG00000242485,MRPL20,0.5235887278814392,-0.3464747957034504,0.29079612288936213,0.6656413179249179,0.3464747957034504,0.2907961228893536
ENSG00000272455,AL391244.2,0.004550862685154321,1.2744637525210196,0.2290194713353197,0.0013207169006446782,-1.2744637525210196,0.2290194713353197
ENSG00000235098,ANKRD65,0.0004790381773846653,-2.6848942629816346,0.023322800577332364,0.0039621507019340346,2.6848942629816346,0.023322800577332364
ENSG00000215915,ATAD3C,0.011975954434616633,1.4025685782687054,0.04570780823397075,0.0039621507019340346,-1.4025685782687054,0.04570780823397075
ENSG00000160072,ATAD3B,0.07975985653454677,0.3820436397208349,0.39897455855322833,0.0607529774296552,-0.3820436397208349,0.39897455855322833
ENSG00000197785,ATAD3A,0.045269107762850876,-0.2324962361988634,0.6685524515327431,0.05282867602578713,0.2324962361988634,0.6685524515327431
ENSG00000205090,TMEM240,0.007904129926846979,2.039998498883997,0.022647661822891817,0.0013207169006446782,-2.039998498883997,0.022647661822891817
ENSG00000160075,SSU72,0.6337675086799123,0.03265929019643776,1,0.619416226402354,-0.03265929019643776,1
